bank_transaction_id,bank_operation_date,bank_amount,bank_ref,bank_payment_class,bank_label,customer_transaction_id,customer_accounting_date,customer_amount,customer_external_doc_number,customer_payment_type,customer_description,score
74985,2025-01-06,446797.866,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:1,1116,2025-01-14,81779.721,1,VIREMENTS CLT,Virement Reçu,44.72727272727273
75009,2025-01-13,342783.739,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:1,1116,2025-01-14,81779.721,1,VIREMENTS CLT,Virement Reçu,51.72727272727273
75151,2025-01-27,143707.915,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:1,1201,2025-01-23,12807.107,1,VIREMENTS CLT,Virement Reçu,47.72727272727273
75256,2025-02-03,52816.922,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:3,1274,2025-02-04,21000.0,1,VIREMENTS CLT,Virement Reçu,51.72727272727273
75289,2025-02-07,492734.609,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,1288,2025-02-05,10341.328,1,VIREMENTS CLT,Virement Reçu,50.72727272727273
75349,2025-02-17,289213.194,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:3,1335,2025-02-14,116890.85,1,VIREMENTS CLT,Virement Reçu,49.72727272727273
75438,2025-02-24,106722.93,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:1,1405,2025-02-25,-5436.197,1,VIREMENTS FRS,Virement validé,46.27272727272727
75478,2025-02-27,26832.161,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:1,1418,2025-02-27,-1310.921,1,VIREMENTS FRS,Virement validé,47.27272727272727
75594,2025-03-05,155194.191,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:3,1514,2025-03-13,61234.784,1,VIREMENTS CLT,Virement Reçu,44.72727272727273
75613,2025-03-07,95630.963,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:3,1297,2025-02-07,95630.963,10155430035,EFFETS CLT,Validation Effet escompté en Banque,58.94736842105263
75624,2025-03-10,161448.184,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,1514,2025-03-13,61234.784,1,VIREMENTS CLT,Virement Reçu,49.72727272727273
75723,2025-03-19,266727.687,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:1,1589,2025-03-24,18719.325,1,EFFETS CLT,Validation Effet escompté en Banque,53.94736842105263
75757,2025-03-26,205631.864,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,1589,2025-03-24,18719.325,1,EFFETS CLT,Validation Effet escompté en Banque,56.94736842105263
75768,2025-03-28,61734.653,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,1589,2025-03-24,18719.325,1,EFFETS CLT,Validation Effet escompté en Banque,53.94736842105263
75857,2025-04-03,369567.861,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:1,1589,2025-03-24,18719.325,1,EFFETS CLT,Validation Effet escompté en Banque,38.94736842105263
75884,2025-04-10,477220.288,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:3,1712,2025-04-14,20662.006,1,VIREMENTS CLT,Virement Reçu,47.72727272727273
75958,2025-04-21,248008.293,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:1,1712,2025-04-14,20662.006,1,VIREMENTS CLT,Virement Reçu,44.72727272727273
75994,2025-04-25,113710.578,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,1806,2025-04-30,4907.107,1,VIREMENTS CLT,Virement Reçu,47.72727272727273
76033,2025-04-30,95847.659,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,1806,2025-04-30,4907.107,1,VIREMENTS CLT,Virement Reçu,52.72727272727273
76042,2025-05-02,346674.32,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,1806,2025-04-30,4907.107,1,VIREMENTS CLT,Virement Reçu,50.72727272727273
76216,2025-05-21,776.523,,CLT EFFET,ANNULATION REMISE EFFET DU 24 03 2025,1945,2025-05-16,42491.006,1,VIREMENTS CLT,Virement Reçu,47.72727272727273
76421,2025-06-10,90706.947,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:3,1992,2025-06-04,18944.856,1,VIREMENTS CLT,Virement Reçu,44.72727272727273
76422,2025-06-10,95242.61,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,1992,2025-06-04,18944.856,1,VIREMENTS CLT,Virement Reçu,44.72727272727273
76433,2025-06-12,126417.118,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:4,2067,2025-06-17,44770.181,1,VIREMENTS CLT,Virement Reçu,47.72727272727273
76471,2025-06-23,34493.718,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,2039,2025-06-10,34493.718,10601127187,EFFETS CLT,Validation Effet escompté en Banque,58.94736842105263
76532,2025-06-30,60816.411,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:4,1589,2025-03-24,18719.325,1,EFFETS CLT,Validation Effet escompté en Banque,38.94736842105263
76533,2025-06-30,273631.428,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:3,1589,2025-03-24,18719.325,1,EFFETS CLT,Validation Effet escompté en Banque,38.94736842105263
75019,2025-01-15,43248.105,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:1,1116,2025-01-14,81779.721,1,VIREMENTS CLT,Virement Reçu,51.72727272727273
75059,2025-01-20,189083.936,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,1201,2025-01-23,12807.107,1,VIREMENTS CLT,Virement Reçu,49.72727272727273
75240,2025-02-03,-39986.598,10109499177,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 310125 LCN 10109499177,1274,2025-02-04,21000.0,1,VIREMENTS CLT,Virement Reçu,51.72727272727273
75257,2025-02-03,156262.211,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,1274,2025-02-04,21000.0,1,VIREMENTS CLT,Virement Reçu,51.72727272727273
75271,2025-02-05,302453.828,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:1,1288,2025-02-05,10341.328,1,VIREMENTS CLT,Virement Reçu,52.72727272727273
75310,2025-02-11,194876.096,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,1335,2025-02-14,116890.85,1,VIREMENTS CLT,Virement Reçu,49.72727272727273
75339,2025-02-14,205232.816,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:1,1335,2025-02-14,116890.85,1,VIREMENTS CLT,Virement Reçu,52.72727272727273
75443,2025-02-25,255965.471,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:1,1405,2025-02-25,-5436.197,1,VIREMENTS FRS,Virement validé,47.27272727272727
75579,2025-03-04,194283.813,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:1,1418,2025-02-27,-1310.921,1,VIREMENTS FRS,Virement validé,42.27272727272727
75612,2025-03-07,195891.385,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:4,1514,2025-03-13,61234.784,1,VIREMENTS CLT,Virement Reçu,44.72727272727273
